id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
766acd95-2d5a-4286-bf19-3455bb2616ec,0,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)",ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,[RELATION_TYPE=RESPONSIBLE_FOR] [MODALITY=EXPLICIT_FACT] The BMK is listed as the publisher and issuer of the Austrian Photovoltaic Strategy.,10.0,51,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
84d4069b-3355-4777-b9ee-ec4e273ba8ec,1,LEONORE GEWESSLER,"BUNDESMINISTERIUM FÜR KLIMASCHUTZ, UMWELT, ENERGIE, MOBILITÄT, INNOVATION UND TECHNOLOGIE (BMK)","[RELATION_TYPE=ASSOCIATED_WITH] [MODALITY=EXPLICIT_FACT] Leonore Gewessler is identified as the Federal Minister heading the BMK, which is responsible for Austrian climate and photovoltaic policy.",10.0,7,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
83f96aa2-16da-43bb-be18-8e0fc0c0ba48,2,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,PHOTOVOLTAIK,"The Austrian Photovoltaic Strategy (ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE) is a guiding framework dedicated to the expansion and strategic support of photovoltaics (PHOTOVOLTAIK) in Austria, providing framework, targets, and measures to support the further expansion and integration of photovoltaics.",30.0,130,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']"
30e1ca91-3714-431c-879f-628cd1c2cb0b,3,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,KLIMANEUTRALITÄT IN ÖSTERREICH BIS 2040,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] The strategy identifies photovoltaic expansion as a key pillar for achieving climate neutrality in Austria by 2040.,9.0,49,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
c8d5e757-4ac9-485c-9b91-44db1b25a3f1,4,ÖSTERREICHISCHE PHOTOVOLTAIK-STRATEGIE,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] The strategy positions photovoltaic expansion as essential to achieving the target of nationally balanced renewable electricity by 2030.,9.0,50,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
59f85c42-d6c4-4aae-ab21-98e13502f7dd,5,PHOTOVOLTAIK,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=CONTRIBUTES_TO] [MODALITY=EXPLICIT_FACT] Photovoltaics is identified as a central pillar (wesentliche Säule) for attaining the 2030 renewable electricity target.,10.0,90,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
1ad4e03b-722c-409a-bd63-b7f2be6028ec,6,ÖSTERREICH,KLIMANEUTRALITÄT IN ÖSTERREICH BIS 2040,Austria (ÖSTERREICH) has the official target of achieving climate neutrality by 2040.,20.0,56,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']"
c300af30-71f2-4e0e-b599-0e1a5e6f2ef7,7,ÖSTERREICH,100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=HAS_TARGET] [MODALITY=EXPLICIT_FACT] Austria has set the official target of 100 percent renewable electricity on a national balance by 2030.,10.0,57,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
5a1e1c51-2946-4997-873d-31073cfaa6a5,8,ERNEUERBAREN-AUSBAU-GESETZ (EAG),100% BILANZIELL ERNEUERBARER STROMVERBRAUCH BIS 2030,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=IN_FORCE] The EAG (Renewable Expansion Act) establishes Austria’s 2030 renewable electricity target.,10.0,15,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
654616fc-03e3-47d4-b64e-4d2e6dadcba1,9,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),PHOTOVOLTAIK-AUSBAUPOTENZIAL — 41 TWH BIS 2040,[RELATION_TYPE=SETS_TARGET] [MODALITY=EXPLICIT_FACT] [STATUS=SCENARIO] The ÖNIP identifies a photovoltaic expansion potential of 41 TWh in Austria by 2040.,10.0,3,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475']
